fit	metafor_tau2	independent_tau2	objective_difference	numerical_refit	warning
"fixed_background common CLDN16 omit Giguelay_2022_Theranostics"	0	0	0	FALSE	""
"fixed_background common CLDN16 omit Liu_2024_Cancer_Res"	1.42086783208947e-05	1.42086783208947e-05	0	TRUE	""
"fixed_background common CLDN16 omit Wang_2023_Sci_Adv"	0	0	0	FALSE	""
"fixed_background common CLDN19"	0.000687167779738204	0.000687167797025723	0	FALSE	""
"fixed_background common CLDN2"	0.00296665620528026	0.00296703996270411	6.68064714659522e-09	FALSE	""
"fixed_background common CLDN2 omit Che_2021_Cell_Discov"	0.0037335967684692	0.00373201403743238	6.27018827970005e-08	FALSE	""
"fixed_background common CLDN2 omit Giguelay_2022_Theranostics"	0.00416248812366038	0.00416338254466919	1.32596849056199e-08	FALSE	""
"fixed_background common CLDN2 omit Liu_2024_Cancer_Res"	0.00488171089468383	0.00488135357483815	2.10559836233415e-09	FALSE	""
"fixed_background common CLDN2 omit Sathe_2023_Clin_Cancer_Res"	0.00120972424196737	0.00120997336681668	8.44455083637286e-09	FALSE	""
"fixed_background common CLDN2 omit Wang_2023_Sci_Adv"	0.00213416577322356	0.00213421145361058	1.73848491158424e-10	FALSE	""
"fixed_background common CLDN23"	0.000987166584736296	0.000987624877999383	6.2155276481235e-08	FALSE	""
"fixed_background common CLDN23 omit Che_2021_Cell_Discov"	0	0	0	FALSE	""
"fixed_background common CLDN23 omit Giguelay_2022_Theranostics"	0.00156653837577108	0.00156651512743956	5.65369973060115e-11	FALSE	""
"fixed_background common CLDN23 omit Liu_2024_Cancer_Res"	0.00147207267178825	0.00147227978716006	4.03536137838501e-09	FALSE	""
"fixed_background common CLDN23 omit Wang_2023_Sci_Adv"	0.000900548473316712	0.000900548473316712	0	TRUE	""
"fixed_background common CLDN3"	0.00512405226476773	0.00512418973841047	3.16466852723352e-10	FALSE	""
"fixed_background common CLDN3 omit Che_2021_Cell_Discov"	0.00339931022839131	0.00339893093974717	3.68504515790846e-09	FALSE	""
"fixed_background common CLDN3 omit Giguelay_2022_Theranostics"	0.00552292207314804	0.00552300387087589	6.70201671937321e-11	FALSE	""
"fixed_background common CLDN3 omit Liu_2024_Cancer_Res"	0.00744920858347396	0.00744918365957531	4.2694736634985e-12	FALSE	""
"fixed_background common CLDN3 omit Sathe_2023_Clin_Cancer_Res"	0.0038681958168944	0.00386817823938627	5.55377965838488e-12	FALSE	""
"fixed_background common CLDN3 omit Wang_2023_Sci_Adv"	0.00589301263909264	0.00589256820358418	2.28658603163012e-09	FALSE	""
"fixed_background common CLDN4"	0.0111155541908691	0.0111145404363859	4.15437995116008e-09	FALSE	""
"fixed_background common CLDN4 omit Che_2021_Cell_Discov"	0	0	0	FALSE	""
"fixed_background common CLDN4 omit Giguelay_2022_Theranostics"	0.0165898290817855	0.016589440715035	2.53119747384289e-10	FALSE	""
"fixed_background common CLDN4 omit Liu_2024_Cancer_Res"	0.0152395872056028	0.015239271473574	1.84630977173583e-10	FALSE	""
"fixed_background common CLDN4 omit Sathe_2023_Clin_Cancer_Res"	0.0140144874685504	0.0140138693080995	8.72650396388508e-10	FALSE	""
"fixed_background common CLDN4 omit Wang_2023_Sci_Adv"	0.016257522961344	0.0162571672179259	2.19260609668481e-10	FALSE	""
"fixed_background common CLDN5"	0	0	0	FALSE	""
"fixed_background common CLDN5 omit Giguelay_2022_Theranostics"	0	0	0	FALSE	""
"fixed_background common CLDN5 omit Liu_2024_Cancer_Res"	0	0	0	FALSE	""
"fixed_background common CLDN5 omit Wang_2023_Sci_Adv"	0	0	0	FALSE	""
"fixed_background common CLDN6"	0	0	0	FALSE	""
"fixed_background common CLDN6 omit Che_2021_Cell_Discov"	0	0	0	FALSE	""
"fixed_background common CLDN6 omit Giguelay_2022_Theranostics"	0	0	0	FALSE	""
"fixed_background common CLDN6 omit Liu_2024_Cancer_Res"	0	0	0	FALSE	""
"fixed_background common CLDN6 omit Wang_2023_Sci_Adv"	0	0	0	FALSE	""
"fixed_background common CLDN7"	0.00745095046726183	0.00745046011201503	2.71513656002753e-09	FALSE	""
"fixed_background common CLDN7 omit Che_2021_Cell_Discov"	0.00849465431219146	0.00849457128658079	4.89288609628602e-11	FALSE	""
"fixed_background common CLDN7 omit Giguelay_2022_Theranostics"	0.00918269690202086	0.00918367588496113	4.74439243447478e-09	FALSE	""
"fixed_background common CLDN7 omit Liu_2024_Cancer_Res"	0.0108594324385505	0.0108600465107412	1.61482116567413e-09	FALSE	""
"fixed_background common CLDN7 omit Sathe_2023_Clin_Cancer_Res"	0	0	0	FALSE	""
"fixed_background common CLDN7 omit Wang_2023_Sci_Adv"	0.00757764921008578	0.00757853417292398	7.46057793321597e-09	FALSE	""
"fixed_background common CLDN8"	0	0	0	FALSE	""
"fixed_background common CLDN9"	0.000981158382206302	0.000981158382206302	0	TRUE	""
"fixed_background common CLDN9 omit Che_2021_Cell_Discov"	0	0	0	TRUE	""
"fixed_background common CLDN9 omit Giguelay_2022_Theranostics"	0.00184249197376072	0.00184249197376072	0	TRUE	""
"fixed_background common CLDN9 omit Liu_2024_Cancer_Res"	0.000982158885223071	0.00098154303846307	5.56396031470285e-08	FALSE	""
"fixed_background common CLDN9 omit Wang_2023_Sci_Adv"	0.000714952556013571	0.000714952556013571	0	TRUE	""
"fixed_background common CRB3"	0	0	0	FALSE	""
"fixed_background common CRB3 omit Che_2021_Cell_Discov"	0	0	0	FALSE	""
"fixed_background common CRB3 omit Giguelay_2022_Theranostics"	0	0	0	FALSE	""
"fixed_background common CRB3 omit Liu_2024_Cancer_Res"	0	0	0	FALSE	""
"fixed_background common CRB3 omit Sathe_2023_Clin_Cancer_Res"	0	0	0	FALSE	""
"fixed_background common CRB3 omit Wang_2023_Sci_Adv"	0	0	0	FALSE	""
"fixed_background common F11R"	0.000561474175316861	0.000561474175316861	0	TRUE	""
"fixed_background common F11R omit Che_2021_Cell_Discov"	0.000602673679260845	0.000602640370381729	3.73370667716699e-10	FALSE	""
"fixed_background common F11R omit Giguelay_2022_Theranostics"	0.000804013769315893	0.000803460509533934	5.57455859251377e-08	FALSE	""
"fixed_background common F11R omit Liu_2024_Cancer_Res"	0	0	0	FALSE	""
"fixed_background common F11R omit Sathe_2023_Clin_Cancer_Res"	0.000598190395806797	0.000598190395806797	0	TRUE	""
"fixed_background common F11R omit Wang_2023_Sci_Adv"	0.000578722308587024	0.000578722308587024	0	TRUE	""
"fixed_background common PALS1"	0.000310475077826168	0.000310475077826168	0	TRUE	""
"fixed_background common PALS1 omit Che_2021_Cell_Discov"	0	0	0	FALSE	""
"fixed_background common PALS1 omit Giguelay_2022_Theranostics"	0.000854300466867817	0.00085378873987952	8.08918283468074e-08	FALSE	""
"fixed_background common PALS1 omit Liu_2024_Cancer_Res"	0.000442184281315479	0.000441833672855747	5.84749795251582e-08	FALSE	""
"fixed_background common PALS1 omit Sathe_2023_Clin_Cancer_Res"	0.000290891346785269	0.000290891346785269	0	TRUE	""
"fixed_background common PALS1 omit Wang_2023_Sci_Adv"	0.000660166102009505	0.000660166102009505	0	TRUE	""
"fixed_background common PARD3"	0.00012873342303701	0.00012873342303701	0	TRUE	""
"fixed_background common PARD3 omit Che_2021_Cell_Discov"	5.20385274795396e-05	5.20385274795396e-05	0	TRUE	""
"fixed_background common PARD3 omit Giguelay_2022_Theranostics"	0.000299681187740333	0.000299681187740333	0	TRUE	""
"fixed_background common PARD3 omit Liu_2024_Cancer_Res"	0.000477479641536769	0.000477479641536769	0	TRUE	""
"fixed_background common PARD3 omit Sathe_2023_Clin_Cancer_Res"	0	0	0	TRUE	""
"fixed_background common PARD3 omit Wang_2023_Sci_Adv"	0.000492982588362407	0.000492982588362407	0	TRUE	""
"fixed_background common PARD6A"	0	0	0	TRUE	""
"fixed_background common PARD6A omit Che_2021_Cell_Discov"	0	0	0	TRUE	""
"fixed_background common PARD6A omit Giguelay_2022_Theranostics"	6.58033343023539e-05	6.58033343023539e-05	0	TRUE	""
"fixed_background common PARD6A omit Liu_2024_Cancer_Res"	0	0	0	TRUE	""
"fixed_background common PARD6A omit Sathe_2023_Clin_Cancer_Res"	3.31326514908379e-06	3.27215270293145e-06	2.70972293492378e-08	FALSE	""
"fixed_background common PARD6A omit Wang_2023_Sci_Adv"	0	0	0	TRUE	""
"fixed_background common PARD6B"	0.00491716543279628	0.00491716543279628	0	TRUE	""
"fixed_background common PARD6B omit Che_2021_Cell_Discov"	0.0013958846951286	0.0013958846951286	0	TRUE	""
"fixed_background common PARD6B omit Giguelay_2022_Theranostics"	0.00300093696103919	0.00300093696103919	0	TRUE	""
"fixed_background common PARD6B omit Liu_2024_Cancer_Res"	0.00678096978973265	0.00678008989793243	1.01140793518084e-08	FALSE	""
"fixed_background common PARD6B omit Sathe_2023_Clin_Cancer_Res"	0.00621969572425818	0.00622027067216063	5.16948883699797e-09	FALSE	""
"fixed_background common PARD6B omit Wang_2023_Sci_Adv"	0.00604314877588083	0.00604332499710378	5.12079267878107e-10	FALSE	""
"fixed_background common PARD6G"	1.32095644662476e-05	1.32095644662476e-05	0	TRUE	""
"fixed_background common PARD6G omit Giguelay_2022_Theranostics"	6.71170697588048e-05	6.71170793913452e-05	4.44089209850063e-16	FALSE	""
"fixed_background common PARD6G omit Liu_2024_Cancer_Res"	0	0	0	FALSE	""
"fixed_background common PARD6G omit Wang_2023_Sci_Adv"	0	0	0	FALSE	""
"fixed_background common PATJ"	0.00133842011181888	0.00133842011181888	0	TRUE	""
"fixed_background common PATJ omit Che_2021_Cell_Discov"	0.000624751779891909	0.000624751779891909	0	TRUE	""
"fixed_background common PATJ omit Giguelay_2022_Theranostics"	0.00132813839649536	0.00132813839649536	0	TRUE	""
"fixed_background common PATJ omit Liu_2024_Cancer_Res"	0.00268939668596504	0.00268882513842754	1.54628434501092e-08	FALSE	""
"fixed_background common PATJ omit Sathe_2023_Clin_Cancer_Res"	0.00217892917538649	0.00217892917538649	0	TRUE	""
"fixed_background common PATJ omit Wang_2023_Sci_Adv"	0.000719325869493916	0.000719325869493916	0	TRUE	""
"fixed_background common PRKCI"	0.00128184446414292	0.00128184446414292	0	TRUE	""
"fixed_background common PRKCI omit Che_2021_Cell_Discov"	0	0	0	FALSE	""
"fixed_background common PRKCI omit Giguelay_2022_Theranostics"	0.00149949805272888	0.00149883780970765	5.20581284746413e-08	FALSE	""
"fixed_background common PRKCI omit Liu_2024_Cancer_Res"	0.0021034661093434	0.00210331086132799	2.03767491768758e-09	FALSE	""
"fixed_background common PRKCI omit Sathe_2023_Clin_Cancer_Res"	0.00183660307366683	0.00183660307366683	0	TRUE	""
"fixed_background common PRKCI omit Wang_2023_Sci_Adv"	0.00204159816057619	0.00204116782138739	1.63976974221214e-08	FALSE	""
"target_mean common CLDN1"	0	0	0	FALSE	""
"target_mean common CLDN1 omit Che_2021_Cell_Discov"	0	0	0	FALSE	""
"target_mean common CLDN1 omit Giguelay_2022_Theranostics"	0	0	0	FALSE	""
"target_mean common CLDN1 omit Liu_2024_Cancer_Res"	0	0	0	FALSE	""
"target_mean common CLDN1 omit Sathe_2023_Clin_Cancer_Res"	0	0	0	FALSE	""
"target_mean common CLDN1 omit Wang_2023_Sci_Adv"	0	0	0	FALSE	""
"target_mean common CLDN10"	0	0	0	FALSE	""
"target_mean common CLDN10 omit Che_2021_Cell_Discov"	0	0	0	FALSE	""
"target_mean common CLDN10 omit Giguelay_2022_Theranostics"	0	0	0	FALSE	""
"target_mean common CLDN10 omit Liu_2024_Cancer_Res"	0.000383152151451863	0.000383152151451863	0	TRUE	""
"target_mean common CLDN10 omit Wang_2023_Sci_Adv"	0	0	0	FALSE	""
"target_mean common CLDN11"	0	0	0	FALSE	""
"target_mean common CLDN11 omit Giguelay_2022_Theranostics"	0.000150595799594906	0.000150595794564944	0	FALSE	""
"target_mean common CLDN11 omit Liu_2024_Cancer_Res"	0	0	0	FALSE	""
"target_mean common CLDN11 omit Wang_2023_Sci_Adv"	0	0	0	FALSE	""
"target_mean common CLDN12"	0	0	0	TRUE	""
"target_mean common CLDN12 omit Che_2021_Cell_Discov"	0	0	0	TRUE	""
"target_mean common CLDN12 omit Giguelay_2022_Theranostics"	0	0	0	TRUE	""
"target_mean common CLDN12 omit Liu_2024_Cancer_Res"	0.000224258732685193	0.000224258732685193	0	TRUE	""
"target_mean common CLDN12 omit Sathe_2023_Clin_Cancer_Res"	0.000239852694771508	0.000239852694771508	0	TRUE	""
"target_mean common CLDN12 omit Wang_2023_Sci_Adv"	0	0	0	FALSE	""
"target_mean common CLDN14"	6.03272146026808e-05	6.03272146026808e-05	0	TRUE	""
"target_mean common CLDN14 omit Giguelay_2022_Theranostics"	0.00121292379640762	0.00121292376367521	8.88178419700125e-16	FALSE	""
"target_mean common CLDN14 omit Liu_2024_Cancer_Res"	0.000127436602884917	0.000127436621820021	4.44089209850063e-16	FALSE	""
"target_mean common CLDN14 omit Wang_2023_Sci_Adv"	0	0	0	FALSE	""
"target_mean common CLDN15"	0.000636622303757161	0.000636622303757161	0	TRUE	""
"target_mean common CLDN15 omit Che_2021_Cell_Discov"	0.00070588906850948	0.00070588906850948	0	TRUE	""
"target_mean common CLDN15 omit Giguelay_2022_Theranostics"	0.000640334839951178	0.000640334839951178	0	TRUE	""
"target_mean common CLDN15 omit Liu_2024_Cancer_Res"	0.000815454620101683	0.000815454620101683	0	TRUE	""
"target_mean common CLDN15 omit Sathe_2023_Clin_Cancer_Res"	0	0	0	FALSE	""
"target_mean common CLDN15 omit Wang_2023_Sci_Adv"	0.000871004838204817	0.000871004838204817	0	TRUE	""
"target_mean common CLDN16"	8.7633734367951e-06	8.7633734367951e-06	0	TRUE	""
"target_mean common CLDN16 omit Che_2021_Cell_Discov"	2.84090165492024e-05	2.84090165492024e-05	0	TRUE	""
"target_mean common CLDN16 omit Giguelay_2022_Theranostics"	6.6760245099326e-05	6.6760245099326e-05	0	TRUE	""
"target_mean common CLDN16 omit Liu_2024_Cancer_Res"	0	0	0	FALSE	""
"target_mean common CLDN16 omit Wang_2023_Sci_Adv"	0	0	0	FALSE	""
"target_mean common CLDN19"	0.00046751135525045	0.000467511355854838	4.44089209850063e-16	FALSE	""
"target_mean common CLDN2"	0.000830846639226828	0.000830846639226828	0	TRUE	""
"target_mean common CLDN2 omit Che_2021_Cell_Discov"	0.000408660296766583	0.000408660296766583	0	TRUE	""
"target_mean common CLDN2 omit Giguelay_2022_Theranostics"	0.00327049069323086	0.00326848381544467	7.44341548397642e-08	FALSE	""
"target_mean common CLDN2 omit Liu_2024_Cancer_Res"	0.00177241622662327	0.00177241622662327	0	TRUE	""
"target_mean common CLDN2 omit Sathe_2023_Clin_Cancer_Res"	0.0014584665010842	0.0014584665010842	0	TRUE	""
"target_mean common CLDN2 omit Wang_2023_Sci_Adv"	0.000298281319608095	0.000298281319608095	0	TRUE	""
"target_mean common CLDN23"	0	0	0	FALSE	""
"target_mean common CLDN23 omit Che_2021_Cell_Discov"	0	0	0	FALSE	""
"target_mean common CLDN23 omit Giguelay_2022_Theranostics"	0	0	0	TRUE	""
"target_mean common CLDN23 omit Liu_2024_Cancer_Res"	3.3883513631261e-05	3.38835153097671e-05	1.77635683940025e-15	FALSE	""
"target_mean common CLDN23 omit Wang_2023_Sci_Adv"	0	0	0	FALSE	""
"target_mean common CLDN3"	0.00231436755372753	0.00231383008620276	1.89733508904055e-08	FALSE	""
"target_mean common CLDN3 omit Che_2021_Cell_Discov"	0.000636198989935634	0.000636938240031224	5.27786960802246e-08	FALSE	""
"target_mean common CLDN3 omit Giguelay_2022_Theranostics"	0.00288666848325379	0.00288624154596836	7.33872518310363e-09	FALSE	""
"target_mean common CLDN3 omit Liu_2024_Cancer_Res"	0.00284194276673454	0.00284200322659551	1.11976206085274e-10	FALSE	""
"target_mean common CLDN3 omit Sathe_2023_Clin_Cancer_Res"	0.00222560381473478	0.00222570899281209	5.73251668356534e-10	FALSE	""
"target_mean common CLDN3 omit Wang_2023_Sci_Adv"	0.00239928239936156	0.00239961800128818	6.19506845822571e-09	FALSE	""
"target_mean common CLDN4"	0.0100555831235207	0.0100557898282898	2.47361242600164e-10	FALSE	""
"target_mean common CLDN4 omit Che_2021_Cell_Discov"	0	0	0	FALSE	""
"target_mean common CLDN4 omit Giguelay_2022_Theranostics"	0.0133978382494934	0.0133980500729873	1.23439924948343e-10	FALSE	""
"target_mean common CLDN4 omit Liu_2024_Cancer_Res"	0.0124112969575194	0.0124121783626169	2.25776108919717e-09	FALSE	""
"target_mean common CLDN4 omit Sathe_2023_Clin_Cancer_Res"	0.0134513857251369	0.0134513706069684	6.3993255139394e-13	FALSE	""
"target_mean common CLDN4 omit Wang_2023_Sci_Adv"	0.0124317425756091	0.0124314072816016	3.6421532456643e-10	FALSE	""
"target_mean common CLDN5"	0	0	0	TRUE	""
"target_mean common CLDN5 omit Giguelay_2022_Theranostics"	0	0	0	FALSE	""
"target_mean common CLDN5 omit Liu_2024_Cancer_Res"	6.93594739371587e-05	6.93594783468997e-05	8.88178419700125e-16	FALSE	""
"target_mean common CLDN5 omit Wang_2023_Sci_Adv"	4.33608102360168e-05	4.336079863543e-05	8.88178419700125e-16	FALSE	""
"target_mean common CLDN6"	2.92187460652423e-05	2.92187460652423e-05	0	TRUE	""
"target_mean common CLDN6 omit Che_2021_Cell_Discov"	3.37764636670819e-05	3.37764636670819e-05	0	TRUE	""
"target_mean common CLDN6 omit Giguelay_2022_Theranostics"	3.89415750461669e-05	3.89415750461669e-05	0	TRUE	""
"target_mean common CLDN6 omit Liu_2024_Cancer_Res"	0	0	0	FALSE	""
"target_mean common CLDN6 omit Wang_2023_Sci_Adv"	0	0	0	FALSE	""
"target_mean common CLDN7"	0.000973773077399945	0.000973773077399945	0	TRUE	""
"target_mean common CLDN7 omit Che_2021_Cell_Discov"	0.00327932235786305	0.00327932235786305	0	TRUE	""
"target_mean common CLDN7 omit Giguelay_2022_Theranostics"	0.00353531578196517	0.00353221002228608	8.59299049693618e-08	FALSE	""
"target_mean common CLDN7 omit Liu_2024_Cancer_Res"	0.00465068211743102	0.00464889705209292	2.57171155482183e-08	FALSE	""
"target_mean common CLDN7 omit Sathe_2023_Clin_Cancer_Res"	0	0	0	FALSE	""
"target_mean common CLDN7 omit Wang_2023_Sci_Adv"	0.00188004725767775	0.00188004725767775	0	TRUE	""
"target_mean common CLDN8"	0	0	0	FALSE	""
"target_mean common CLDN9"	0.000993781934826484	0.000993781934826484	0	TRUE	""
"target_mean common CLDN9 omit Che_2021_Cell_Discov"	0.000611219857277793	0.000611219857277793	0	TRUE	""
"target_mean common CLDN9 omit Giguelay_2022_Theranostics"	0.00150465013145237	0.00150426203790218	2.22143095029992e-08	FALSE	""
"target_mean common CLDN9 omit Liu_2024_Cancer_Res"	4.57284698791055e-05	4.57289037885423e-05	3.5527136788005e-13	FALSE	""
"target_mean common CLDN9 omit Wang_2023_Sci_Adv"	0.00104280295898857	0.00104280295898857	0	TRUE	""
"target_mean common CRB3"	0	0	0	FALSE	""
"target_mean common CRB3 omit Che_2021_Cell_Discov"	0	0	0	FALSE	""
"target_mean common CRB3 omit Giguelay_2022_Theranostics"	0	0	0	FALSE	""
"target_mean common CRB3 omit Liu_2024_Cancer_Res"	0	0	0	FALSE	""
"target_mean common CRB3 omit Sathe_2023_Clin_Cancer_Res"	0	0	0	FALSE	""
"target_mean common CRB3 omit Wang_2023_Sci_Adv"	9.78981494054916e-05	9.78981494054916e-05	0	TRUE	""
"target_mean common F11R"	0.000513073408867818	0.000513077264353156	7.43760608656885e-12	FALSE	""
"target_mean common F11R omit Che_2021_Cell_Discov"	0.000552106637372726	0.000552003871624733	4.6098644901349e-09	FALSE	""
"target_mean common F11R omit Giguelay_2022_Theranostics"	0.00088835231618681	0.000887697053463688	8.38580431761216e-08	FALSE	""
"target_mean common F11R omit Liu_2024_Cancer_Res"	0	0	0	FALSE	""
"target_mean common F11R omit Sathe_2023_Clin_Cancer_Res"	0.000459844401652091	0.000459844401652091	0	TRUE	""
"target_mean common F11R omit Wang_2023_Sci_Adv"	0.000506730076205526	0.000506476909568799	2.84636323399923e-08	FALSE	""
"target_mean common PALS1"	3.74371112948216e-05	3.74371112948216e-05	0	TRUE	""
