component	gene
Hypoxia	ALDOA
Hypoxia	ALDOB
Hypoxia	ALDOC
Hypoxia	AMPD3
Hypoxia	ANGPTL4
Hypoxia	ANKZF1
Hypoxia	ANXA2
Hypoxia	ATF3
Hypoxia	ATP7A
Hypoxia	B3GALT6
Hypoxia	B4GALNT2
Hypoxia	BCAN
Hypoxia	BCL2
Hypoxia	BGN
Hypoxia	BHLHE40
Hypoxia	BNIP3L
Hypoxia	BRS3
Hypoxia	BTG1
Hypoxia	CA12
Hypoxia	CASP6
Hypoxia	CAV1
Hypoxia	CAVIN1
Hypoxia	CAVIN3
Hypoxia	CCN1
Hypoxia	CCN2
Hypoxia	CCN5
Hypoxia	CCNG2
Hypoxia	CDKN1A
Hypoxia	CDKN1B
Hypoxia	CDKN1C
Hypoxia	CHST2
Hypoxia	CHST3
Hypoxia	CITED2
Hypoxia	COL5A1
Hypoxia	CP
Hypoxia	CSRP2
Hypoxia	CXCR4
Hypoxia	DCN
Hypoxia	DDIT3
Hypoxia	DDIT4
Hypoxia	DPYSL4
Hypoxia	DTNA
Hypoxia	DUSP1
Hypoxia	EDN2
Hypoxia	EFNA1
Hypoxia	EFNA3
Hypoxia	EGFR
Hypoxia	ENO1
Hypoxia	ENO2
Hypoxia	ENO3
Hypoxia	ERO1A
Hypoxia	ERRFI1
Hypoxia	ETS1
Hypoxia	EXT1
Hypoxia	F3
Hypoxia	FAM162A
Hypoxia	FBP1
Hypoxia	FOS
Hypoxia	FOSL2
Hypoxia	FOXO3
Hypoxia	GAA
Hypoxia	GALK1
Hypoxia	GAPDH
Hypoxia	GAPDHS
Hypoxia	GBE1
Hypoxia	GCK
Hypoxia	GCNT2
Hypoxia	GLRX
Hypoxia	GPC1
Hypoxia	GPC3
Hypoxia	GPC4
Hypoxia	GPI
Hypoxia	GRHPR
Hypoxia	GYS1
Hypoxia	HAS1
Hypoxia	HDLBP
Hypoxia	HEXA
Hypoxia	HK1
Hypoxia	HK2
Hypoxia	HMOX1
Hypoxia	HOXB9
Hypoxia	HS3ST1
Hypoxia	HSPA5
Hypoxia	IDS
Hypoxia	IER3
Hypoxia	IGFBP1
Hypoxia	IGFBP3
Hypoxia	IL6
Hypoxia	ILVBL
Hypoxia	INHA
Hypoxia	IRS2
Hypoxia	ISG20
Hypoxia	JMJD6
Hypoxia	JUN
Hypoxia	KDELR3
Hypoxia	KDM3A
Hypoxia	KIF5A
Hypoxia	KLF6
Hypoxia	KLF7
Hypoxia	KLHL24
Hypoxia	LALBA
Hypoxia	LARGE1
Hypoxia	LDHA
Hypoxia	LDHC
Hypoxia	LOX
Hypoxia	LXN
Hypoxia	MAFF
Hypoxia	MAP3K1
Hypoxia	MIF
Hypoxia	MT1E
Hypoxia	MT2A
Hypoxia	MXI1
Hypoxia	MYH9
Hypoxia	NAGK
Hypoxia	NCAN
Hypoxia	NDRG1
Hypoxia	NDST1
Hypoxia	NDST2
Hypoxia	NEDD4L
Hypoxia	NFIL3
Hypoxia	NOCT
Hypoxia	NR3C1
Hypoxia	P4HA1
Hypoxia	P4HA2
Hypoxia	PAM
Hypoxia	PCK1
Hypoxia	PDGFB
Hypoxia	PDK1
Hypoxia	PDK3
Hypoxia	PFKFB3
Hypoxia	PFKL
Hypoxia	PFKP
Hypoxia	PGAM2
Hypoxia	PGF
Hypoxia	PGK1
Hypoxia	PGM1
Hypoxia	PGM2
Hypoxia	PHKG1
Hypoxia	PIM1
Hypoxia	PKLR
Hypoxia	PKP1
Hypoxia	PLAC8
Hypoxia	PLAUR
Hypoxia	PLIN2
Hypoxia	PNRC1
Hypoxia	PPARGC1A
Hypoxia	PPFIA4
Hypoxia	PPP1R15A
Hypoxia	PPP1R3C
Hypoxia	PRDX5
Hypoxia	PRKCA
Hypoxia	PYGM
Hypoxia	RBPJ
Hypoxia	RORA
Hypoxia	RRAGD
Hypoxia	S100A4
Hypoxia	SAP30
Hypoxia	SCARB1
Hypoxia	SDC2
Hypoxia	SDC3
Hypoxia	SDC4
Hypoxia	SELENBP1
Hypoxia	SERPINE1
Hypoxia	SIAH2
Hypoxia	SLC25A1
Hypoxia	SLC2A1
Hypoxia	SLC2A3
Hypoxia	SLC2A5
Hypoxia	SLC37A4
Hypoxia	SLC6A6
Hypoxia	SRPX
Hypoxia	STBD1
Hypoxia	STC1
Hypoxia	STC2
Hypoxia	SULT2B1
Hypoxia	TES
Hypoxia	TGFB3
Hypoxia	TGFBI
Hypoxia	TGM2
Hypoxia	TIPARP
Hypoxia	TKTL1
Hypoxia	TMEM45A
Hypoxia	TNFAIP3
Hypoxia	TPBG
Hypoxia	TPD52
Hypoxia	TPI1
Hypoxia	TPST2
Hypoxia	UGP2
Hypoxia	VEGFA
Hypoxia	VHL
Hypoxia	VLDLR
Hypoxia	WSB1
Hypoxia	XPNPEP1
Hypoxia	ZFP36
Hypoxia	ZNF292
Epithelial	CDH1
Epithelial	EPCAM
Epithelial	KRT18
Epithelial	KRT19
Epithelial	KRT8
Epithelial	MUC1
Epithelial	TACSTD2
Liver	ALB
Liver	APOA1
Liver	APOA2
Liver	ASGR1
Liver	CPS1
Liver	TTR
