set_id	family	role	source	source_version	citation	retrieval_date	n_genes	gene_sha256
PENGWINKLER_PALMITATE_UP_TOP100	PengWinkler_perturbation	pengwinkler_axis	GSE292820 CMT93 palmitate-versus-BSA RNA-seq	source-author DE results; top 100 positive RM among q<0.05	Peng-Winkler et al., Nature 2026; DOI 10.1038/s41586-026-10686-2	2026-09-01	100	0a7c06c57c451327f2fb6d7daf544d83f9e0bf2de65e3e1a22e16742adefca43
FROZEN_REC_TOP50	anchor	primary_anchor	Ogden paired REC-versus-other pseudobulk	project freeze 2026-08-23	Ogden et al., Cell Genomics 2025; PMID 40393458	2026-09-01	50	d60ffb9272852e53453a180404d09aa2856b1bc44cc6ff20c10c288a46d84bf0
HEPATOCYTE_CONTEXT_6	composition_control	composition_control	Conservative hepatocyte-context marker panel previously used in the audited project	project implementation before Phase 2 hepatocyte-context sensitivity	Operational liver-context surrogate; cannot distinguish hepatocyte contamination from tumour-cell mimicry	2026-09-01	6	d66eaa40899675aaacd1d9c1467bf6ad277d3c4c97f9f243bb46916cf7485ec5
PAN_EPITHELIAL_7	composition_control	composition_control	Conservative pan-epithelial marker panel used in the audited project	project freeze 2026-08-24	Operational composition surrogate; not a tumour-purity estimator	2026-09-01	7	edcf0e71c77001993f78a8587d558ac0064bc7a2531008e4281c79f108c09a3d
CANELLAS_CORE_HRC	published_signature	regenerative_interpretation	Ogden supplementary signature compendium	Cell Genomics 2025 supplementary table mmc3	Ogden et al., Cell Genomics 2025; PMID 40393458	2026-09-01	100	09a60095ec3b35903268020e6296f9851aa2f29517c63a29a0065f80728226b4
CANELLAS_HRC_KRT20_NEG	published_signature	regenerative_interpretation	Ogden supplementary signature compendium	Cell Genomics 2025 supplementary table mmc3	Ogden et al., Cell Genomics 2025; PMID 40393458	2026-09-01	291	eb37dd1bf19020caf9fbb7a0566c6f1f84039292243759604b51621475cb2290
CANELLAS_HRC_KRT20_POS	published_signature	regenerative_interpretation	Ogden supplementary signature compendium	Cell Genomics 2025 supplementary table mmc3	Ogden et al., Cell Genomics 2025; PMID 40393458	2026-09-01	299	449dbd54d6a96fd9f7b94c2c6b8ff5cd816bb9dfd31b509e5b4b253371e5bdc2
HALLMARK_E2F_OGDEN_COPY	published_signature	rival_program	Ogden supplementary signature compendium	Cell Genomics 2025 supplementary table mmc3	Ogden et al., Cell Genomics 2025; PMID 40393458	2026-09-01	200	564b78438ff87fdfb0fd79653cc41163db2dab0829de7926f93204f7d8518967
HALLMARK_TNFA_NFKB_OGDEN_COPY	published_signature	regulatory_context	Ogden supplementary signature compendium	Cell Genomics 2025 supplementary table mmc3	Ogden et al., Cell Genomics 2025; PMID 40393458	2026-09-01	200	5aa58ea23d4046b200ce0b74927cdcf434d8a79f4a28b3fd8ee7501bf66e0e74
NUSSE_REGENERATIVE	published_signature	regenerative_interpretation	Ogden supplementary signature compendium	Cell Genomics 2025 supplementary table mmc3	Ogden et al., Cell Genomics 2025; PMID 40393458	2026-09-01	110	ed68028e53c31b39e4f89b0197aabf16aa2615161ba93ef78d05deaa8a7d7ddb
OGDEN_EPIHR	published_signature	regenerative_interpretation	Ogden supplementary signature compendium	Cell Genomics 2025 supplementary table mmc3	Ogden et al., Cell Genomics 2025; PMID 40393458	2026-09-01	99	21c28c4b9371fba140b1c5e1c3ce222c86001340cab838a61a8546cf0a2afca4
OGDEN_HYPOXIA_MP6	published_signature	rival_program	Ogden supplementary signature compendium	Cell Genomics 2025 supplementary table mmc3	Ogden et al., Cell Genomics 2025; PMID 40393458	2026-09-01	50	60b23fea9c517fdb4731b2f3ea4c7fe746474c03b36d7f6f333b7886acc0672b
PUBLISHED_FETAL	published_signature	regenerative_interpretation	Ogden supplementary signature compendium	Cell Genomics 2025 supplementary table mmc3	Ogden et al., Cell Genomics 2025; PMID 40393458	2026-09-01	247	cbab05774712b0fb07b7fb6e6ab8b0810fc76ac48a9d1539f905b87ea1263cd3
PUBLISHED_PEMT	published_signature	regenerative_interpretation	Ogden supplementary signature compendium	Cell Genomics 2025 supplementary table mmc3	Ogden et al., Cell Genomics 2025; PMID 40393458	2026-09-01	71	3a9c2155658288d534e7e75fe6718b05c1af49e660bceebbe4f7d5a300e2df04
PUBLISHED_YAP	published_signature	regenerative_interpretation	Ogden supplementary signature compendium	Cell Genomics 2025 supplementary table mmc3	Ogden et al., Cell Genomics 2025; PMID 40393458	2026-09-01	133	a29ac93b12fa2db050dfdc0a179567995560376653a0b1dd62a9b25cbddff091
OGDEN_STATE_COLONOCYTE_MARKERS	source_state_marker	rival_state	Ogden source-author epithelial-state markers	equal-size 33-gene project extraction 2026-08-24	Ogden et al., Cell Genomics 2025; PMID 40393458	2026-09-01	33	0344b9bce8a7e42c72adcea135d8af640f55c2ec089e6b13a207b6e364941cea
OGDEN_STATE_HYPOXIA_MARKERS	source_state_marker	rival_state	Ogden source-author epithelial-state markers	equal-size 33-gene project extraction 2026-08-24	Ogden et al., Cell Genomics 2025; PMID 40393458	2026-09-01	33	eea02888279b34d240d422a52ccc48b2aa7de21679f487ac612a0ad6bc0b70e4
OGDEN_STATE_IREC_MARKERS	source_state_marker	rival_state	Ogden source-author epithelial-state markers	equal-size 33-gene project extraction 2026-08-24	Ogden et al., Cell Genomics 2025; PMID 40393458	2026-09-01	33	2d8788b3297a343d0c05b13cdb53fa810566e5a4730e973326d79c5b8dddc04a
OGDEN_STATE_REC_MARKERS	source_state_marker	state_identity	Ogden source-author epithelial-state markers	equal-size 33-gene project extraction 2026-08-24	Ogden et al., Cell Genomics 2025; PMID 40393458	2026-09-01	33	88445d48782bc115886dc73e8abf6e9361e0de0e5e7da9d6d156bfc819bd190c
OGDEN_STATE_TA1_MARKERS	source_state_marker	rival_state	Ogden source-author epithelial-state markers	equal-size 33-gene project extraction 2026-08-24	Ogden et al., Cell Genomics 2025; PMID 40393458	2026-09-01	33	bd786f0ae961e7f55f67e22e2146cce7c1c0dfe31712cd55b4613a0783c192bb
OGDEN_STATE_UPR_MARKERS	source_state_marker	rival_state	Ogden source-author epithelial-state markers	equal-size 33-gene project extraction 2026-08-24	Ogden et al., Cell Genomics 2025; PMID 40393458	2026-09-01	33	bf7e89a9ca3246f2b6856819a149cb268e20efb4be201a3c8eb4a673bc42330a
